employee,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
A,L,L,L,L,L,OFF,OFF,D,L,L,L,L,OFF,OFF,D,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,D,D,D,L,L,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,D,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,D,D,D,L,L
B,OFF,OFF,E,E,E,E,L,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,E,E,L,OFF,OFF,OFF,E,E,E,L,L,OFF,OFF,L,L,OFF,OFF,E,E,L,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,E,L,L,L,OFF,OFF,L,L,L,OFF,OFF,E,E,OFF,OFF,E,E,E,L,L,OFF,OFF,E,L,L,OFF,OFF
C,OFF,E,E,OFF,OFF,E,E,E,E,D,OFF,OFF,E,E,E,L,L,OFF,OFF,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,D,D,D,D,D,OFF,OFF,E,E,D,L,L,OFF,OFF,L,L,OFF,OFF,E,E,D,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,E,L,L,OFF,OFF
D,D,D,D,D,D,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,D,D,OFF,OFF,E,E,E,E,E,OFF,OFF,E,D,D,D,D,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,D,D,D,OFF,OFF
E,L,OFF,OFF,D,D,L,L,OFF,OFF,OFF,D,D,D,D,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,D,D,D,D,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,L,L,L,OFF,OFF,OFF,D,D,D,D,L,OFF,OFF,OFF,OFF,L,L,L,L,L
F,D,L,L,L,L,OFF,OFF,D,D,D,D,L,OFF,OFF,L,L,L,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,D,D,L,L,L,OFF,OFF,L,L,OFF,OFF,OFF,OFF,OFF,D,D,D,OFF,OFF,L,L,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,L,L,L,L,OFF,OFF,L,L,L,L,OFF,OFF,D,D,L,L,L,OFF,OFF,OFF,OFF,D,D
G,E,E,E,E,E,OFF,OFF,E,D,D,D,D,OFF,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,D,D,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,OFF,OFF,E,E,E,D,OFF,OFF,OFF,E,E,E,E,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF
H,L,L,OFF,OFF,OFF,OFF,OFF,D,L,L,L,OFF,OFF,OFF,E,E,E,L,L,OFF,OFF,E,L,L,L,L,OFF,OFF,OFF,OFF,OFF,D,D,L,L,OFF,OFF,E,E,L,L,L,OFF,OFF,E,E,E,L,L,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,E,E,OFF,OFF,E,E,E,D,D,OFF,OFF,E,L,L,OFF,OFF,L,L,L,L,L,OFF,OFF
I,E,OFF,OFF,D,D,OFF,OFF,E,E,E,E,L,OFF,OFF,E,E,L,OFF,OFF,D,L,L,L,L,OFF,OFF,D,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,E,E,E,L,L,OFF,OFF,E,E,E,E,L,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,OFF,OFF,E,E,D,OFF,OFF,E,L,L,L,L,OFF,OFF,D,L,L,L,L,OFF,OFF
J,D,L,L,L,OFF,OFF,OFF,OFF,OFF,OFF,OFF,E,E,D,OFF,OFF,E,E,E,OFF,OFF,E,D,D,D,L,OFF,OFF,E,E,OFF,OFF,E,E,E,OFF,OFF,L,L,L,OFF,OFF,E,L,L,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF,OFF,OFF,OFF,L,L,L,L,L,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E,E,OFF,OFF,E,E,E,E
